"","","Obs","Missing Obs","Mean","SD","Min","Max","Range","SE"
"48",48,108,75,0.350617283950617,0.26252553577942,0,1,1,0.0252615314585665
"49",49,108,1346,0.447493388086975,0.333577289116407,0,0.707106781186548,0.707106781186548,0.0320984896111505
"50",50,108,0,5109.98039452481,62231.9522328633,-95748.8785511343,622345.495571074,718094.374122208,5988.27239563992
"51",51,108,105,265.933242992842,2024.70177716737,0,18473.3968505641,18473.3968505641,194.827019346049
"52",52,108,0,0.0733808674985146,0.25295472004846,0,1,1,0.0243405792854608
"53",53,108,105,0.00959934003050574,0.0702120448932566,0,0.522232967867094,0.522232967867094,0.00675615716991263
"54",54,108,0,7.68518518518519,4.34633404049369,1,15,14,0.418226188044511
"55",55,108,105,0,0,0,0,0,0
"56",56,108,1,39.0641534391534,24.7998375321051,1,81,80,2.38636547916997
"57",57,108,106,0.0467677316824704,0.342262168357192,0,2.61116483933547,2.61116483933547,0.0329341925057416
"58",58,108,0,8.74074074074074,4.59859866987205,2,33,31,0.44250036332428
"59",59,108,105,0,0,0,0,0,0
"60",60,108,0,0,0,0,0,0,0
"61",61,108,105,0,0,0,0,0,0
"62",62,108,1,0.0626677402039721,0.224362202533384,0,1,1,0.0215892630047711
"63",63,108,106,0.0193732643427196,0.0992719906682813,0,0.534522483824849,0.534522483824849,0.00955245175588704
"64",64,108,0,0.25,0.435031420070549,0,1,1,0.0418609179139461
"65",65,108,105,0,0,0,0,0,0
"66",66,108,75,0.675925925925926,0.470209810073959,0,1,1,0.0452459600703005
"67",67,108,1,0.0833333333333333,0.277673916200852,0,1,1,0.0267191850442499
